MolMass,bp,mp,pv,ks,kac,kba,kn,kds,kde,kdw,kow0,kaw0,dhaw,
958445-54-0,392.097,167.12,-9.18,238.6464,0.013972818,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.85,-2.054,-999,
67584-42-3,500.22,475.51,201.16,2.0900001e-07,0.023309786,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,1.74,-999,-999,
423-39-2,345.934,69.0,-67.435,21464.84,0.00071458699,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.275,3.555102,-999,
19064-18-7,144.121,185.0,16.555,35.84747,225.4494,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,1.185,-2.581936,-999,
870778-34-0,346.116,94.415,-46.305,22771.4,0.001003,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.795,2.447375,-999,
55283-68-6,333.27,378.14,55.5,0.0010508,0.0019056021,-999,-999,0.0,3.0100001e-08,3.0100001e-08,3.0100001e-08,5.05,-2.6455,40489.0,
3793-74-6,631.132,243.0,88.4,1.52,132.0,-999,-999,-999,-999,-999,-999,7.83,-4.43557,-999,
126105-34-8,599.13,230.245,68.65,0.8431134,2.7999999e-06,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.51,-1.681104,-999,
2706-89-0,286.028,267.0,79.055,322.6393,372.6908,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,1.165,-3.038215,-999,
90076-65-6,287.08,398.24,224.5,12.46561,46.2,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,1.365,0.5040272,-999,
52238-92-3,930.48,892.15,349.84,1.495e-30,1.4300001e-16,-999,-999,-999,1.13e-07,1.13e-07,1.13e-07,13.941,-20.6821,301630.0,
4021-47-0,522.11,348.8,122.765,0.5200004,0.0097948713,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.34,-3.037056,-999,
68140-18-1,180.14,70.46,-83.3,17198.54,0.356767,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,3.14,0.893,-999,
